[Raw Material Color] chat_screen.dart:85 -> Colors.red | Line: backgroundColor: Colors.red.shade800,
[Hardcoded SizedBox Dimension] chat_screen.dart:117 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded SizedBox Dimension] chat_screen.dart:136 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded SizedBox Dimension] chat_screen.dart:153 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded EdgeInsets] customer_home_screen.dart:113 -> EdgeInsets.all(2) | Line: padding: const EdgeInsets.all(2),
[Hardcoded BorderRadius] customer_home_screen.dart:116 -> BorderRadius.circular(10) | Line: borderRadius: BorderRadius.circular(10),
[Hardcoded TextStyle] customer_home_screen.dart:171 -> TextStyle(color: Theme.of(context) | Line: style: TextStyle(color: Theme.of(context).colorScheme.onSurface),
[Hardcoded BorderRadius] customer_job_map_screen.dart:96 -> BorderRadius.circular(4) | Line: borderRadius: BorderRadius.circular(4),
[Hardcoded BorderRadius] customer_job_map_screen.dart:132 -> BorderRadius.circular(4) | Line: borderRadius: BorderRadius.circular(4),
[Hardcoded BorderRadius] customer_job_map_screen.dart:184 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded EdgeInsets] customer_job_map_screen.dart:186 -> EdgeInsets.all(12) | Line: padding: const EdgeInsets.all(12),
[Hardcoded BorderRadius] customer_job_map_screen.dart:189 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded SizedBox Dimension] customer_job_map_screen.dart:195 -> SizedBox(width: 8) | Line: SizedBox(width: 8),
[Hardcoded TextStyle] customer_job_map_screen.dart:199 -> TextStyle(fontSize: 13) | Line: style: TextStyle(fontSize: 13),
[Hardcoded BorderRadius] customer_job_map_screen.dart:216 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded EdgeInsets] customer_job_map_screen.dart:218 -> EdgeInsets.all(10) | Line: padding: const EdgeInsets.all(10),
[Hardcoded BorderRadius] customer_job_map_screen.dart:223 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded SizedBox Dimension] customer_job_map_screen.dart:234 -> SizedBox(width: 8) | Line: const SizedBox(width: 8),
[Hardcoded EdgeInsets] customer_marketplace_screen.dart:93 -> EdgeInsets.all(2) | Line: padding: const EdgeInsets.all(2),
[Hardcoded BorderRadius] customer_marketplace_screen.dart:96 -> BorderRadius.circular(10) | Line: borderRadius: BorderRadius.circular(10),
[Hardcoded TextStyle] customer_marketplace_screen.dart:176 -> TextStyle(fontWeight: FontWeight.w600) | Line: style: const TextStyle(fontWeight: FontWeight.w600),
[Hardcoded SizedBox Dimension] customer_marketplace_screen.dart:852 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded EdgeInsets] employee_jobs_screen.dart:222 -> EdgeInsets.all(2) | Line: padding: const EdgeInsets.all(2),
[Hardcoded BorderRadius] employee_jobs_screen.dart:225 -> BorderRadius.circular(10) | Line: borderRadius: BorderRadius.circular(10),
[Hardcoded EdgeInsets] employee_jobs_screen.dart:316 -> EdgeInsets.symmetric(vertical: 40.0) | Line: padding: const EdgeInsets.symmetric(vertical: 40.0),
[Hardcoded EdgeInsets] home_screen.dart:120 -> EdgeInsets.all(2) | Line: padding: const EdgeInsets.all(2),
[Hardcoded BorderRadius] home_screen.dart:123 -> BorderRadius.circular(10) | Line: borderRadius: BorderRadius.circular(10),
[Hardcoded TextStyle] home_screen.dart:197 -> TextStyle(color: Theme.of(context) | Line: style: TextStyle(color: Theme.of(context).colorScheme.onSurface),
[Hardcoded TextStyle] home_screen.dart:301 -> TextStyle(color: Theme.of(context) | Line: style: TextStyle(color: Theme.of(context).colorScheme.onSurface),
[Hardcoded SizedBox Dimension] job_status_screen.dart:639 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded SizedBox Dimension] kyb_kye_review_screen.dart:346 -> SizedBox(width: 4) | Line: const SizedBox(width: 4),
[Hardcoded TextStyle] notifications_screen.dart:107 -> TextStyle(color: AppColors.primary) | Line: style: const TextStyle(color: AppColors.primary),
[Hardcoded BorderRadius] owner_fleet_map_screen.dart:110 -> BorderRadius.circular(4) | Line: borderRadius: BorderRadius.circular(4),
[Hardcoded BorderRadius] owner_fleet_map_screen.dart:146 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded EdgeInsets] owner_fleet_map_screen.dart:148 -> EdgeInsets.all(12) | Line: padding: const EdgeInsets.all(12),
[Hardcoded BorderRadius] owner_fleet_map_screen.dart:151 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded SizedBox Dimension] owner_fleet_map_screen.dart:156 -> SizedBox(width: 8) | Line: SizedBox(width: 8),
[Hardcoded TextStyle] owner_fleet_map_screen.dart:160 -> TextStyle(fontSize: 13) | Line: style: TextStyle(fontSize: 13),
[Hardcoded BorderRadius] owner_fleet_map_screen.dart:177 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded EdgeInsets] owner_fleet_map_screen.dart:179 -> EdgeInsets.all(10) | Line: padding: const EdgeInsets.all(10),
[Hardcoded BorderRadius] owner_fleet_map_screen.dart:184 -> BorderRadius.circular(8) | Line: borderRadius: BorderRadius.circular(8),
[Hardcoded SizedBox Dimension] owner_fleet_map_screen.dart:195 -> SizedBox(width: 8) | Line: const SizedBox(width: 8),
[Raw Material Color] owner_history_screen.dart:409 -> Colors.teal | Line: color = Colors.teal;
[Hardcoded TextStyle] owner_reconciliation_queue_screen.dart:240 -> TextStyle(color: AppColors.error) | Line: style: const TextStyle(color: AppColors.error),
[Hardcoded EdgeInsets] owner_reconciliation_queue_screen.dart:293 -> EdgeInsets.symmetric(vertical: 2.0) | Line: padding: const EdgeInsets.symmetric(vertical: 2.0),
[Raw Material Color] rating_screen.dart:106 -> Colors.red | Line: backgroundColor: Colors.red,
[Raw Material Color] rating_screen.dart:134 -> Colors.green | Line: backgroundColor: Colors.green,
[Raw Material Color] rating_screen.dart:149 -> Colors.red | Line: backgroundColor: Colors.red,
[Hardcoded BorderRadius] rating_screen.dart:461 -> BorderRadius.circular(3) | Line: borderRadius: BorderRadius.circular(3),
[Hardcoded BorderRadius] rating_screen.dart:471 -> BorderRadius.circular(3) | Line: borderRadius: BorderRadius.circular(3),
[Hardcoded SizedBox Dimension] service_screen.dart:83 -> SizedBox(height: 100) | Line: const SizedBox(height: 100),
[Hardcoded BorderRadius] service_screen.dart:143 -> BorderRadius.circular(20) | Line: BorderRadius.circular(20),
[Hardcoded EdgeInsets] subscription_screen.dart:242 -> EdgeInsets.symmetric(horizontal: 10, vertical: 4) | Line: const EdgeInsets.symmetric(horizontal: 10, vertical: 4),
[Hardcoded SizedBox Dimension] wallet_screen.dart:269 -> SizedBox(height: 4) | Line: const SizedBox(height: 4),
[Raw Material Color] wallet_screen.dart:321 -> Colors.teal | Line: color = Colors.teal;
